"#"|"Name"|"RefDes"|"RIGID_PN"|"Quantity"
"1"|"E298_0u1"|"C1"|"CPART000u1"|"1"
"2"|"E298_10U0"|"C2"|"CPART10u0"|"1"
"3"|"E298_DIODE"|"D1"|"QPART1N4001"|"1"
"4"|"E298_DIODE"|"D2"|"QPART1N4001"|"1"
"5"|"E298_DIODE"|"D3"|"QPART1N4001"|"1"
"6"|"E298_DIODE"|"D4"|"QPART1N4001"|"1"
"7"|"E298_GREEN 3mm D. 1"|"GRN"|"QPARTG3D1"|"1"
"8"|"E298_CONN_1x10"|"J1"|"HPART1x10"|"1"
"9"|"E298_CONN_1x10"|"J2"|"HPART1x10"|"1"
"10"|"E298_CONN_1x2"|"J3"|"HPART1x2"|"1"
"11"|"E298_CONN_1x10"|"KEYPAD"|"HPART1x10"|"1"
"12"|"E298_ORANGE 3mm C. 1"|"ORG"|"QPARTO3C1"|"1"
"13"|"E298_1K0"|"R1"|"RPART1K"|"1"
"14"|"E298_1K0"|"R2"|"RPART1K"|"1"
"15"|"E298_1K0"|"R3"|"RPART1K"|"1"
"16"|"E298_100R0"|"R8"|"RPART100R"|"1"
"17"|"E298_100R0"|"R9"|"RPART100R"|"1"
"18"|"E298_100R0"|"R10"|"RPART100R"|"1"
"19"|"E298_100R0"|"R11"|"RPART100R"|"1"
"20"|"E298_RED 3mm D. 1"|"RED"|"QPARTR3D1"|"1"
"21"|"TEST_POINT"|"TP1"|""|"1"
"22"|"TEST_POINT"|"TP2"|""|"1"
"23"|"TEST_POINT"|"TP3"|""|"1"
"24"|"TEST_POINT"|"TP4"|""|"1"
"25"|"TEST_POINT"|"TP5"|""|"1"
"26"|"TEST_POINT"|"TP6"|""|"1"
"27"|"TEST_POINT"|"TP7"|""|"1"
"28"|"TEST_POINT"|"TP8"|""|"1"
"29"|"TEST_POINT"|"TP9"|""|"1"
"30"|"TEST_POINT"|"TP10"|""|"1"
"31"|"TEST_POINT"|"TP11"|""|"1"
"32"|"E298_CONN_1x2"|"US1"|"HPART1x2"|"1"
"33"|"E298_CONN_1x2"|"US2"|"HPART1x2"|"1"
"34"|"E298_YELLOW 3mm D. 1"|"YEL"|"QPARTY3D1"|"1"
""|""|""|""|"34"
